"","TIME","GEO","PRODUCT","INDIC_NRG","Value"
"93","2000","Bulgaria","Gas","Gross inland consumption",122732
"94","2000","Bulgaria","Nuclear heat","Imports",NA
"95","2000","Bulgaria","Nuclear heat","Exports",NA
"96","2000","Bulgaria","Nuclear heat","Gross inland consumption",196754
"97","2000","Bulgaria","Derived heat","Imports",0
"98","2000","Bulgaria","Derived heat","Exports",0
"99","2000","Bulgaria","Derived heat","Gross inland consumption",0
"100","2000","Bulgaria","Renewable energies","Imports",0
"101","2000","Bulgaria","Renewable energies","Exports",103
"102","2000","Bulgaria","Renewable energies","Gross inland consumption",32506
"103","2000","Bulgaria","Electrical energy","Imports",3470
"104","2000","Bulgaria","Electrical energy","Exports",20102
"105","2000","Bulgaria","Electrical energy","Gross inland consumption",-16632
"106","2000","Bulgaria","Waste (non-renewable)","Imports",0
"107","2000","Bulgaria","Waste (non-renewable)","Exports",0
"108","2000","Bulgaria","Waste (non-renewable)","Gross inland consumption",484
"109","2000","Czech Republic","All products","Imports",748102
"110","2000","Czech Republic","All products","Exports",354080
"111","2000","Czech Republic","All products","Gross inland consumption",1731953
"112","2000","Czech Republic","Solid fuels","Imports",43446
"113","2000","Czech Republic","Solid fuels","Exports",241123
"114","2000","Czech Republic","Solid fuels","Gross inland consumption",906145
"115","2000","Czech Republic","Total petroleum products","Imports",359838
"116","2000","Czech Republic","Total petroleum products","Exports",45310
"117","2000","Czech Republic","Total petroleum products","Gross inland consumption",329962
"118","2000","Czech Republic","Gas","Imports",313290
"119","2000","Czech Republic","Gas","Exports",34
"120","2000","Czech Republic","Gas","Gross inland consumption",314016
"121","2000","Czech Republic","Nuclear heat","Imports",NA
"122","2000","Czech Republic","Nuclear heat","Exports",NA
"123","2000","Czech Republic","Nuclear heat","Gross inland consumption",146772
"124","2000","Czech Republic","Derived heat","Imports",0
"125","2000","Czech Republic","Derived heat","Exports",139
"126","2000","Czech Republic","Derived heat","Gross inland consumption",-139
"127","2000","Czech Republic","Renewable energies","Imports",118
"128","2000","Czech Republic","Renewable energies","Exports",3
"129","2000","Czech Republic","Renewable energies","Gross inland consumption",67614
"130","2000","Czech Republic","Electrical energy","Imports",31410
"131","2000","Czech Republic","Electrical energy","Exports",67471
"132","2000","Czech Republic","Electrical energy","Gross inland consumption",-36061
"133","2000","Czech Republic","Waste (non-renewable)","Imports",0
"134","2000","Czech Republic","Waste (non-renewable)","Exports",0
"135","2000","Czech Republic","Waste (non-renewable)","Gross inland consumption",3645
"136","2000","Denmark","All products","Imports",608121
"137","2000","Denmark","All products","Exports",916526
"138","2000","Denmark","All products","Gross inland consumption",826309
"139","2000","Denmark","Solid fuels","Imports",161439
"140","2000","Denmark","Solid fuels","Exports",3063
"141","2000","Denmark","Solid fuels","Gross inland consumption",166859
"142","2000","Denmark","Total petroleum products","Imports",413771
"143","2000","Denmark","Total petroleum products","Exports",764878
"144","2000","Denmark","Total petroleum products","Gross inland consumption",381049
"145","2000","Denmark","Gas","Imports",0
"146","2000","Denmark","Gas","Exports",120678
"147","2000","Denmark","Gas","Gross inland consumption",186949
"148","2000","Denmark","Nuclear heat","Imports",NA
"149","2000","Denmark","Nuclear heat","Exports",NA
