"","TIME","GEO","PRODUCT","Proizvodnja/zaloga"
"129","2000","Hungary","Electrical energy",-21899
"130","2000","Hungary","Gas",96696
"131","2000","Hungary","Nuclear heat",NA
"132","2000","Hungary","Renewable energies",34760
"133","2000","Hungary","Solid fuels",110451
"134","2000","Hungary","Total petroleum products",-5068
"135","2000","Hungary","Waste (non-renewable)",1218
"136","2000","Iceland","All products",96535
"137","2000","Iceland","Derived heat",0
"138","2000","Iceland","Electrical energy",0
"139","2000","Iceland","Gas",NA
"140","2000","Iceland","Nuclear heat",NA
"141","2000","Iceland","Renewable energies",101028
"142","2000","Iceland","Solid fuels",0
"143","2000","Iceland","Total petroleum products",-4520
"144","2000","Iceland","Waste (non-renewable)",28
"145","2000","Ireland","All products",28466
"146","2000","Ireland","Derived heat",0
"147","2000","Ireland","Electrical energy",-255
"148","2000","Ireland","Gas",40123
"149","2000","Ireland","Nuclear heat",NA
"150","2000","Ireland","Renewable energies",9837
"151","2000","Ireland","Solid fuels",37863
"152","2000","Ireland","Total petroleum products",-59101
"153","2000","Ireland","Waste (non-renewable)",0
"154","2000","Italy","All products",8942
"155","2000","Italy","Derived heat",0
"156","2000","Italy","Electrical energy",-1743
"157","2000","Italy","Gas",456168
"158","2000","Italy","Nuclear heat",NA
"159","2000","Italy","Renewable energies",401738
"160","2000","Italy","Solid fuels",-27942
"161","2000","Italy","Total petroleum products",-830103
"162","2000","Italy","Waste (non-renewable)",10824
"163","2000","Latvia","All products",48450
"164","2000","Latvia","Derived heat",0
"165","2000","Latvia","Electrical energy",-1159
"166","2000","Latvia","Gas",-875
"167","2000","Latvia","Nuclear heat",NA
"168","2000","Latvia","Renewable energies",49854
"169","2000","Latvia","Solid fuels",2936
"170","2000","Latvia","Total petroleum products",-2306
"171","2000","Latvia","Waste (non-renewable)",0
"172","2000","Lithuania","All products",-39019
"173","2000","Lithuania","Derived heat",0
"174","2000","Lithuania","Electrical energy",-23350
"175","2000","Lithuania","Gas",-34
"176","2000","Lithuania","Nuclear heat",NA
"177","2000","Lithuania","Renewable energies",28239
"178","2000","Lithuania","Solid fuels",412
"179","2000","Lithuania","Total petroleum products",-137374
"180","2000","Lithuania","Waste (non-renewable)",0
